Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Revenge Of The Dreamers III: Director's Cut,16-01-20,217866,,
"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,210466,,
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Revenge Of The Dreamers III: Director's Cut,16-01-20,151826,,
Sunset (with J. Cole feat. Young Nudy),Revenge Of The Dreamers III: Director's Cut,16-01-20,178373,,
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Revenge Of The Dreamers III: Director's Cut,16-01-20,284040,,
MIDDLE CHILD,Revenge Of The Dreamers III: Director's Cut,16-01-20,213000,,
"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)",Revenge Of The Dreamers III: Director's Cut,16-01-20,237853,,
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Revenge Of The Dreamers III: Director's Cut,16-01-20,382306,,
Big Black Truck (with JID),Revenge Of The Dreamers III: Director's Cut,16-01-20,152973,,
Still Up (with EARTHGANG feat. REASON),Revenge Of The Dreamers III: Director's Cut,16-01-20,205200,,
Outta Pocket (with Bas & Cozz feat. Girl Talk),Revenge Of The Dreamers III: Director's Cut,16-01-20,157213,,
Late Night (with Cozz & Omen feat. Buddy & Landstrip Chip),Revenge Of The Dreamers III: Director's Cut,16-01-20,196920,,
"Spin Move (with Bas feat. Saba, Smino & The Hics)",Revenge Of The Dreamers III: Director's Cut,16-01-20,223533,,
BUSSIT (with Ari Lennox),Revenge Of The Dreamers III: Director's Cut,16-01-20,150720,,
"Passcode (with Ari Lennox feat. Buddy, Smino, Mez & Guapdad 4000)",Revenge Of The Dreamers III: Director's Cut,16-01-20,206000,,
Up Up Away (with JID & EARTHGANG feat. Vince Staples),Revenge Of The Dreamers III: Director's Cut,16-01-20,199706,,
"No Chorus (with Bas feat. Buddy, Guapdad 4000 & Dreezy)",Revenge Of The Dreamers III: Director's Cut,16-01-20,202213,,
Disgusted (with Cozz feat. Childish Major),Revenge Of The Dreamers III: Director's Cut,16-01-20,163053,,
"Revenge (with Lute & Omen feat. Ari Lennox, EARTHGANG, Childish Major & REASON)",Revenge Of The Dreamers III: Director's Cut,16-01-20,333226,,
Still Dreamin (with JID & Lute feat. 6LACK),Revenge Of The Dreamers III: Director's Cut,16-01-20,261053,,
Under The Sun (with J. Cole & Lute feat. DaBaby),Revenge Of The Dreamers III: Director's Cut,16-01-20,202040,,
